Job Title,Company,Salary,Location
Not Available,Not Available,Not Provided,Not Available
Senior software engineer,BP Energy,Not Provided,"Hybrid work in Pune, Maharashtra"
Software Developer (Python),Predis.ai,"Up to ₹13,00,000 a year","Bavdhan, Pune, Maharashtra"
python devloper,TalentXo,"₹3,00,000 - ₹7,00,000 a year","Pune, Maharashtra"
Python Developer,Distinct Cloud Labs,"₹4,00,000 - ₹7,00,000 a year","Pune, Maharashtra"
Python Developer,Natobotics Technologies Private Limited,Not Provided,"Pune, Maharashtra"
Not Available,Not Available,Not Provided,Not Available
Python Developer Intern,Cognition Technology,"From ₹1,20,000 a year","Chinchwad, Pune, Maharashtra"
Python,Virtusa,Full-time,"Hybrid work in Pune, Maharashtra"
Python Developer,TachyonHR,"₹20,000 - ₹35,000 a month","Wanowrie, Pune, Maharashtra"
Python Developer,L&T Technology Services Limited.,Not Provided,"Pune, Maharashtra"
Data Science fresher,myinternship.in,"₹5,00,000 - ₹6,00,000 a year","Kothrud, Pune, Maharashtra"
Not Available,Not Available,Not Provided,Not Available
Application Support Analyst,Tesla,Not Provided,"Pune, Maharashtra"
Python Developer,Turneratech Pvt. Ltd,"₹2,85,412.85 - ₹3,00,000.00 a year","Pune, Maharashtra"
Backend Developer,Aarambh Consultant,"₹3,23,644.62 - ₹6,23,494.36 a year","Kothrud, Pune, Maharashtra"
Python Developer,Execo Group Inc.,"Up to ₹12,00,000 a year","Baner, Pune, Maharashtra"
Python - Fresher,SplendorNet Technologies,Not Provided,"Pune, Maharashtra"
Not Available,Not Available,Not Provided,Not Available
